activity_type,aerobic_training_effect,anaerobic_training_effect,avg_hr,avg_speed,calories,distance,max_ftp,max_hr,duration,begin_timestamp,event_type_id,start_time_gmt,start_time_local,elevation_gain,elevation_loss,max_run_cadence,steps,avg_stride_length,avg_fractional_cadence,max_fractional_cadence,elapsed_duration,moving_duration,min_temperature,max_temperature,min_elevation,max_elevation,avg_double_cadence,max_double_cadence,max_vertical_speed,lap_count,water_estimated,min_respiration_rate,max_respiration_rate,avg_respiration_rate,activity_training_load
3,0.10000000149011612,0.0,72.0,0.0,666.21318,0.0,197.0,111.0,5010996.09375,1587315775000,9,1587315775000.0,1587326575000.0,,,,510.0,,0.0,0.0,5010996.09375,2367620.1171875,23.0,27.0,,,,,,1,,,,,
0,2.5,0.10000000149011612,146.0,0.2551000118255615,662.02316,203710.99853515625,197.0,165.0,798455.0170898438,1587231144000,9,1587231144000.0,1587241944000.0,900.0,1000.0,122.0,2052.0,98.85551566069853,0.578125,0.0,798455.0170898438,766000.0,20.0,26.0,39100.0,41139.99938964844,157.15625,244.0,0.279998779296875,3,,,,,
2,0.5,0.10000000149011612,98.0,0.0,377.10179999999997,0.0,197.0,140.0,1023840.0268554688,1587143120000,9,1587143120000.0,1587153920000.0,0.0,0.0,,,,0.0,0.0,1023840.0268554688,0.0,18.0,20.0,39520.001220703125,39520.001220703125,,,0.0,1,,,,,
3,0.0,0.0,70.0,0.0,134.08064,0.0,197.0,85.0,995229.98046875,1587141022000,9,1587141022000.0,1587151822000.0,,,,12.0,,0.0,0.0,995229.98046875,995229.98046875,21.0,22.0,,,,,,1,,,,,
3,0.0,0.0,68.0,0.0,79.61037999999999,0.0,197.0,86.0,653869.0185546875,1587140037000,9,1587140037000.0,1587150837000.0,,,,8.0,,0.0,0.0,653869.0185546875,653869.0185546875,21.0,21.0,,,,,,1,,,,,
2,0.8999999761581421,0.0,125.0,0.0,272.3513,0.0,197.0,145.0,425609.9853515625,1587138654000,9,1587138654000.0,1587149454000.0,0.0,0.0,,,,0.0,0.0,425609.9853515625,0.0,22.0,23.0,39579.998779296875,39579.998779296875,,,0.0,1,,,,,
3,0.10000000149011612,0.0,68.0,0.0,548.89262,0.0,197.0,124.0,4749209.9609375,1587052781000,9,1587052781000.0,1587063581000.0,,,,202.0,,0.0,0.0,4749209.9609375,3049243.896484375,20.0,23.0,,,,,,1,,,,,
2,0.0,0.0,61.0,0.0,92.18043999999999,0.0,197.0,78.0,1080938.96484375,1587043463000,9,1587043463000.0,1587054263000.0,0.0,0.0,,,,0.0,0.0,1080938.96484375,0.0,22.0,25.0,38979.998779296875,38979.998779296875,,,0.0,1,,,,,
3,0.6000000238418579,0.10000000149011612,95.0,0.0,490.23233999999997,0.0,197.0,150.0,1509404.052734375,1586966360000,9,1586966360000.0,1586977160000.0,,,,78.0,,0.0,0.0,1509404.052734375,908586.9750976562,17.0,19.0,,,,,,1,,,,,
3,0.10000000149011612,0.0,69.0,0.0,402.24191999999994,0.0,197.0,96.0,3627070.068359375,1586942397000,9,1586942397000.0,1586953197000.0,,,,268.0,,0.0,0.0,3714825.927734375,1995961.0595703125,27.0,29.0,,,,,,1,,,,,
